Image1_Correct,Image2_Correct,Image3_Correct,Image4_Correct,Image5_Correct,Image6_Correct,Image7_Correct,Image8_Correct,Image9_Correct,Image10_Correct,Image11_Correct,Image12_Correct,Total_Correct
True,False,True,True,True,True,False,True,True,False,True,False,8
True,True,True,True,True,True,False,True,True,True,True,True,11
True,True,True,True,True,True,True,True,True,False,True,False,10
True,False,True,False,True,True,True,True,True,True,True,False,9
True,False,True,True,True,False,True,True,True,True,True,False,9
True,True,False,True,True,True,True,False,False,True,True,True,9
True,False,True,True,True,True,True,True,True,True,True,False,10
True,True,True,True,True,True,True,True,True,False,True,False,10
True,True,False,True,True,True,True,True,True,True,True,True,11
True,False,True,False,False,False,True,True,True,True,True,False,7
False,False,True,True,True,True,True,True,True,False,False,False,7
