,Image1_Correct,A) AI-generated,B) Human-created
Image1,False,0.0,1.0
Image1,True,1.0,0.0
Image2,False,1.0,0.0
Image2,True,0.0,1.0
Image3,False,1.0,0.0
Image3,True,0.0,1.0
Image4,False,0.0,1.0
Image4,True,1.0,0.0
Image5,False,0.0,1.0
Image5,True,1.0,0.0
Image6,False,1.0,0.0
Image6,True,0.0,1.0
Image7,False,1.0,0.0
Image7,True,0.0,1.0
Image8,False,0.0,1.0
Image8,True,1.0,0.0
Image9,False,1.0,0.0
Image9,True,0.0,1.0
Image10,False,0.0,1.0
Image10,True,1.0,0.0
Image11,False,1.0,0.0
Image11,True,0.0,1.0
Image12,False,0.0,1.0
Image12,True,1.0,0.0
