particpantId,Total Correct,Percent Correct,Correct AI Images,Correct Human Images,AI % Correct,Human % Correct
1.0,8,66.66666666666666,5,3,83.33333333333334,50.0
2.0,11,91.66666666666666,5,6,83.33333333333334,100.0
3.0,10,83.33333333333334,6,4,100.0,66.66666666666666
4.0,9,75.0,6,3,100.0,50.0
5.0,9,75.0,6,3,100.0,50.0
6.0,9,75.0,4,5,66.66666666666666,83.33333333333334
7.0,10,83.33333333333334,6,4,100.0,66.66666666666666
8.0,10,83.33333333333334,6,4,100.0,66.66666666666666
9.0,11,91.66666666666666,5,6,83.33333333333334,100.0
10.0,7,58.333333333333336,5,2,83.33333333333334,33.33333333333333
11.0,7,58.333333333333336,4,3,66.66666666666666,50.0
